epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.3219,1.55976,4.64592,7.13281,0.01935,5.18515,0.00138,0.41463,0.00207,0.00043,0.00175,0.52439,0.00301,0.00048,1.43664,3.48044,8.65477,0.02545,0,0.00126,0.00042,0.00126,0.00042,0.00126,0.00042,0.00126,0.00042
2,35.0243,1.22784,3.31333,6.52894,0.01363,3.61565,0.0026,0.78049,0.02813,0.00873,0.00285,0.85366,0.03641,0.0108,0.8598,2.30939,7.9216,0.01531,0,0.00255446,0.000851486,0.00255446,0.000851486,0.00255446,0.000851486,0.00255446,0.000851486
3,42.7724,0.87205,2.58167,6.11857,0.00898,2.06582,0.00325,0.97561,0.50611,0.34994,0.00325,0.97561,0.505,0.34103,0.67428,2.09719,7.33628,0.01116,0,0.00382278,0.00127426,0.00382278,0.00127426,0.00382278,0.00127426,0.00382278,0.00127426
4,50.0933,0.79733,2.03344,5.36147,0.00797,1.02603,0.00329,0.9878,0.54736,0.43251,0.00333,1,0.54899,0.42374,0.6,1.49885,6.968,0.00993,0,0.00506497,0.00168832,0.00506497,0.00168832,0.00506497,0.00168832,0.00506497,0.00168832
5,56.8012,0.81302,1.61575,4.51188,0.00834,0.74228,0.61749,0.57317,0.66492,0.53653,0.61749,0.57317,0.66492,0.53351,0.70143,1.29327,5.9273,0.01196,0,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,63.7804,0.81501,1.49396,3.92909,0.00822,0.65431,0.75052,0.69706,0.80064,0.67815,0.75052,0.69706,0.80064,0.66043,0.69638,1.19402,4.51898,0.01197,0,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,70.3455,0.75175,1.35825,3.27657,0.00764,0.54484,0.73893,0.78049,0.83678,0.69195,0.73893,0.78049,0.83678,0.6801,0.66178,1.19709,3.03921,0.01137,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,77.2614,0.78747,1.35242,2.70323,0.00791,0.47626,0.852,0.7439,0.91369,0.73861,0.852,0.7439,0.91369,0.73915,0.7792,1.21925,1.8019,0.01325,0,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,84.0614,0.75349,1.2412,2.19429,0.00732,0.45942,0.9327,0.84146,0.95621,0.78169,0.9327,0.84146,0.95621,0.76886,0.75368,1.2995,1.35007,0.01281,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,90.7976,0.7772,1.23744,1.95876,0.00766,0.43361,0.95196,0.85366,0.97169,0.78817,0.95196,0.85366,0.97169,0.82129,0.75714,1.03979,1.1425,0.01268,0,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
